日期,市場,產品,上價,中價,下價,平均價(元/公斤),交易量(公斤)
104/01/01,400 台中市,LL1 茼蒿  ,24.5,18.4,10.6,17.9,3978.0
104/01/02,400 台中市,LL1 茼蒿  ,22.6,16.2,13.2,17.0,3231.0
104/01/03,400 台中市,LL1 茼蒿  ,24.4,20.6,16.2,20.5,2300.0
104/01/04,400 台中市,LL1 茼蒿  ,26.5,24.4,21.3,24.0,1900.0
104/01/06,400 台中市,LL1 茼蒿  ,37.2,28.6,21.0,28.4,1233.0
104/01/07,400 台中市,LL1 茼蒿  ,33.7,27.2,19.4,25.6,1654.0
104/01/08,400 台中市,LL1 茼蒿  ,30.3,22.0,11.4,21.2,2062.0
104/01/09,400 台中市,LL1 茼蒿  ,25.8,15.9,8.9,16.0,2891.0
104/01/10,400 台中市,LL1 茼蒿  ,20.4,11.8,5.7,11.6,3345.0
104/01/11,400 台中市,LL1 茼蒿  ,19.1,12.8,7.0,12.3,3068.0
104/01/13,400 台中市,LL1 茼蒿  ,22.9,16.0,9.8,14.8,1780.0
104/01/14,400 台中市,LL1 茼蒿  ,17.7,12.6,6.5,12.1,2194.0
104/01/15,400 台中市,LL1 茼蒿  ,21.4,14.7,9.3,14.4,1543.0
104/01/16,400 台中市,LL1 茼蒿  ,19.5,10.2,5.2,10.0,2573.0
104/01/17,400 台中市,LL1 茼蒿  ,14.9,7.3,4.7,8.0,2088.0
104/01/18,400 台中市,LL1 茼蒿  ,12.5,7.1,4.4,7.2,2016.0
104/01/20,400 台中市,LL1 茼蒿  ,13.8,8.9,5.6,9.5,1218.0
104/01/21,400 台中市,LL1 茼蒿  ,20.5,15.2,10.2,15.6,699.0
104/01/22,400 台中市,LL1 茼蒿  ,21.2,14.2,8.8,13.3,1035.0
104/01/23,400 台中市,LL1 茼蒿  ,17.8,10.6,5.8,10.3,1949.0
104/01/24,400 台中市,LL1 茼蒿  ,15.1,10.1,5.1,9.0,1356.0
104/01/25,400 台中市,LL1 茼蒿  ,13.6,7.2,3.8,7.3,1586.0
104/01/27,400 台中市,LL1 茼蒿  ,21.2,12.4,6.8,15.3,735.0
104/01/28,400 台中市,LL1 茼蒿  ,17.7,13.2,6.5,11.9,1110.0
104/01/29,400 台中市,LL1 茼蒿  ,16.2,9.1,4.4,9.1,1690.0
104/01/30,400 台中市,LL1 茼蒿  ,15.6,9.5,5.6,10.1,872.0
104/01/31,400 台中市,LL1 茼蒿  ,19.4,13.3,9.4,13.0,902.0
104/02/01,400 台中市,LL1 茼蒿  ,15.4,10.3,5.8,10.6,1530.0
104/02/03,400 台中市,LL1 茼蒿  ,17.6,11.5,4.4,10.2,1494.0
104/02/04,400 台中市,LL1 茼蒿  ,19.2,9.1,4.7,9.9,2001.0
104/02/05,400 台中市,LL1 茼蒿  ,15.6,8.8,4.4,7.9,1799.0
104/02/06,400 台中市,LL1 茼蒿  ,13.3,7.8,3.4,7.4,1771.0
104/02/07,400 台中市,LL1 茼蒿  ,19.0,9.8,5.0,10.7,1071.0
104/02/08,400 台中市,LL1 茼蒿  ,17.3,13.1,8.2,13.7,769.0
104/02/10,400 台中市,LL1 茼蒿  ,18.4,14.0,9.0,13.7,1282.0
104/02/11,400 台中市,LL1 茼蒿  ,15.8,10.3,6.7,11.2,966.0
104/02/12,400 台中市,LL1 茼蒿  ,19.6,15.0,8.6,15.7,764.0
104/02/13,400 台中市,LL1 茼蒿  ,18.0,13.5,7.0,12.8,952.0
104/02/14,400 台中市,LL1 茼蒿  ,19.3,9.6,4.0,9.7,1170.0
104/02/15,400 台中市,LL1 茼蒿  ,18.2,9.1,3.6,9.6,1131.0
104/02/16,400 台中市,LL1 茼蒿  ,19.7,13.7,6.8,12.9,1174.0
104/02/17,400 台中市,LL1 茼蒿  ,24.2,17.4,8.2,16.8,1386.0
104/02/18,400 台中市,LL1 茼蒿  ,27.7,13.2,2.3,11.8,2150.0
104/02/24,400 台中市,LL1 茼蒿  ,19.2,12.8,8.3,16.5,1130.0
104/02/25,400 台中市,LL1 茼蒿  ,22.0,15.0,9.0,18.0,530.0
104/02/26,400 台中市,LL1 茼蒿  ,23.0,14.4,10.5,15.4,790.0
104/02/28,400 台中市,LL1 茼蒿  ,26.0,17.9,9.3,19.5,480.0
104/03/01,400 台中市,LL1 茼蒿  ,27.7,22.4,11.0,20.5,361.0
104/03/03,400 台中市,LL1 茼蒿  ,25.2,19.1,10.5,16.5,580.0
104/03/04,400 台中市,LL1 茼蒿  ,27.2,19.2,12.8,18.1,468.0
104/03/05,400 台中市,LL1 茼蒿  ,27.3,24.0,21.3,24.7,375.0
104/03/06,400 台中市,LL1 茼蒿  ,35.7,28.0,23.0,30.5,331.0
104/03/10,400 台中市,LL1 茼蒿  ,37.8,31.2,23.2,29.3,709.0
104/03/11,400 台中市,LL1 茼蒿  ,31.3,25.4,10.0,22.3,465.0
104/03/12,400 台中市,LL1 茼蒿  ,22.5,20.0,10.8,17.8,570.0
104/03/13,400 台中市,LL1 茼蒿  ,32.5,26.3,25.0,27.1,172.0
104/03/14,400 台中市,LL1 茼蒿  ,33.0,26.0,15.5,22.7,280.0
104/03/15,400 台中市,LL1 茼蒿  ,33.0,26.5,15.5,24.7,233.0
104/03/17,400 台中市,LL1 茼蒿  ,32.4,21.5,16.8,22.7,590.0
104/03/18,400 台中市,LL1 茼蒿  ,24.0,17.3,11.0,15.5,790.0
104/03/19,400 台中市,LL1 茼蒿  ,15.4,7.5,5.0,8.6,1056.0
104/03/20,400 台中市,LL1 茼蒿  ,16.0,10.1,5.0,9.5,550.0
104/03/21,400 台中市,LL1 茼蒿  ,11.3,7.3,3.0,7.1,680.0
104/03/22,400 台中市,LL1 茼蒿  ,24.0,14.7,8.3,14.4,330.0
104/03/24,400 台中市,LL1 茼蒿  ,24.0,14.1,11.0,15.1,681.0
104/03/25,400 台中市,LL1 茼蒿  ,22.0,16.2,12.0,15.5,515.0
104/03/26,400 台中市,LL1 茼蒿  ,19.0,11.6,9.2,13.3,593.0
104/03/27,400 台中市,LL1 茼蒿  ,23.3,20.7,14.0,19.4,285.0
104/03/28,400 台中市,LL1 茼蒿  ,22.7,19.5,16.0,18.8,330.0
104/03/29,400 台中市,LL1 茼蒿  ,23.3,20.8,15.3,19.4,399.0
104/03/31,400 台中市,LL1 茼蒿  ,36.0,30.0,20.0,29.1,85.0
104/04/02,400 台中市,LL1 茼蒿  ,26.0,26.0,22.0,24.0,80.0
104/04/04,400 台中市,LL1 茼蒿  ,26.0,26.0,26.0,26.0,15.0
104/04/07,400 台中市,LL1 茼蒿  ,28.0,26.0,24.0,26.6,46.0
104/04/08,400 台中市,LL1 茼蒿  ,18.0,18.0,18.0,18.0,20.0
104/04/09,400 台中市,LL1 茼蒿  ,26.0,26.0,26.0,26.0,50.0
104/04/11,400 台中市,LL1 茼蒿  ,25.0,25.0,25.0,25.0,20.0
104/04/14,400 台中市,LL1 茼蒿  ,25.0,25.0,25.0,25.0,60.0
104/04/15,400 台中市,LL1 茼蒿  ,24.0,24.0,24.0,24.0,30.0
104/04/16,400 台中市,LL1 茼蒿  ,20.0,18.0,16.0,18.2,90.0
104/04/17,400 台中市,LL1 茼蒿  ,21.0,20.0,18.0,19.6,140.0
104/04/21,400 台中市,LL1 茼蒿  ,30.0,25.0,25.0,25.7,92.0
104/04/22,400 台中市,LL1 茼蒿  ,25.0,25.0,25.0,25.0,110.0
104/04/23,400 台中市,LL1 茼蒿  ,25.0,24.0,23.0,23.9,170.0
104/04/24,400 台中市,LL1 茼蒿  ,18.0,12.7,8.0,12.5,110.0
104/04/25,400 台中市,LL1 茼蒿  ,18.0,18.0,15.0,17.0,120.0
104/04/26,400 台中市,LL1 茼蒿  ,8.0,8.0,8.0,8.0,100.0
104/04/29,400 台中市,LL1 茼蒿  ,20.0,19.5,19.0,19.5,100.0
104/04/30,400 台中市,LL1 茼蒿  ,15.0,15.0,15.0,15.0,50.0
104/05/01,400 台中市,LL1 茼蒿  ,13.0,13.0,13.0,13.0,40.0
104/05/02,400 台中市,LL1 茼蒿  ,16.0,13.0,10.0,11.7,70.0
104/05/05,400 台中市,LL1 茼蒿  ,13.0,13.0,13.0,13.0,50.0
104/05/06,400 台中市,LL1 茼蒿  ,12.0,10.0,8.0,9.3,60.0
104/10/10,400 台中市,LL1 茼蒿  ,50.0,40.0,35.0,40.4,52.0
104/10/17,400 台中市,LL1 茼蒿  ,68.0,67.5,67.0,67.4,50.0
104/10/18,400 台中市,LL1 茼蒿  ,70.0,70.0,70.0,70.0,50.0
104/10/20,400 台中市,LL1 茼蒿  ,61.0,58.0,55.0,56.5,80.0
104/10/21,400 台中市,LL1 茼蒿  ,53.0,53.0,35.5,46.3,210.0
104/10/22,400 台中市,LL1 茼蒿  ,55.0,31.5,20.0,28.6,110.0
104/10/23,400 台中市,LL1 茼蒿  ,43.0,38.0,18.0,25.9,310.0
104/10/24,400 台中市,LL1 茼蒿  ,39.0,31.7,27.5,32.6,140.0
104/10/25,400 台中市,LL1 茼蒿  ,52.5,38.3,23.0,32.2,170.0
104/10/27,400 台中市,LL1 茼蒿  ,44.0,25.2,18.0,26.2,200.0
104/10/28,400 台中市,LL1 茼蒿  ,42.0,35.6,22.0,31.7,249.0
104/10/29,400 台中市,LL1 茼蒿  ,44.3,36.6,28.7,34.3,362.0
104/10/30,400 台中市,LL1 茼蒿  ,40.0,36.8,19.3,28.9,370.0
104/10/31,400 台中市,LL1 茼蒿  ,43.0,33.2,12.5,23.9,539.0
104/11/01,400 台中市,LL1 茼蒿  ,52.6,39.1,19.6,35.4,600.0
104/11/03,400 台中市,LL1 茼蒿  ,49.7,34.4,25.3,36.3,600.0
104/11/04,400 台中市,LL1 茼蒿  ,48.5,37.1,20.0,33.4,529.0
104/11/05,400 台中市,LL1 茼蒿  ,36.0,23.0,10.0,19.4,279.0
104/11/06,400 台中市,LL1 茼蒿  ,41.0,38.7,30.0,36.8,73.0
104/11/07,400 台中市,LL1 茼蒿  ,51.0,37.0,22.0,36.9,182.0
104/11/08,400 台中市,LL1 茼蒿  ,10.0,10.0,10.0,10.0,60.0
104/11/10,400 台中市,LL1 茼蒿  ,56.0,49.0,40.0,49.5,59.0
104/11/11,400 台中市,LL1 茼蒿  ,56.7,46.5,22.0,40.2,461.0
104/11/12,400 台中市,LL1 茼蒿  ,59.3,38.0,21.7,39.1,290.0
104/11/13,400 台中市,LL1 茼蒿  ,48.2,35.9,21.8,32.6,478.0
104/11/14,400 台中市,LL1 茼蒿  ,47.8,21.0,8.2,24.5,890.0
104/11/15,400 台中市,LL1 茼蒿  ,32.8,20.8,12.0,20.5,680.0
104/11/17,400 台中市,LL1 茼蒿  ,25.3,16.5,7.0,15.6,1021.0
104/11/18,400 台中市,LL1 茼蒿  ,23.6,13.4,5.2,12.5,810.0
104/11/19,400 台中市,LL1 茼蒿  ,21.2,10.8,4.0,11.1,1290.0
104/11/20,400 台中市,LL1 茼蒿  ,21.2,14.8,5.8,11.9,1125.0
104/11/21,400 台中市,LL1 茼蒿  ,23.8,15.3,6.5,14.0,740.0
104/11/22,400 台中市,LL1 茼蒿  ,20.4,15.4,10.4,14.6,600.0
104/11/24,400 台中市,LL1 茼蒿  ,22.5,15.5,11.8,15.6,560.0
104/11/25,400 台中市,LL1 茼蒿  ,25.2,15.5,9.8,16.3,980.0
104/11/26,400 台中市,LL1 茼蒿  ,36.5,26.4,21.8,27.9,659.0
104/11/27,400 台中市,LL1 茼蒿  ,36.7,30.3,20.7,27.3,580.0
104/11/28,400 台中市,LL1 茼蒿  ,51.2,45.1,36.0,44.5,770.0
104/11/29,400 台中市,LL1 茼蒿  ,61.3,49.8,33.7,49.3,426.0
104/12/01,400 台中市,LL1 茼蒿  ,59.7,43.0,20.7,37.4,614.0
104/12/02,400 台中市,LL1 茼蒿  ,57.5,47.8,25.8,40.4,611.0
104/12/03,400 台中市,LL1 茼蒿  ,51.0,44.7,26.0,39.5,126.0
104/12/04,400 台中市,LL1 茼蒿  ,48.2,40.4,30.2,39.6,1065.0
104/12/05,400 台中市,LL1 茼蒿  ,47.6,42.0,32.4,40.1,1199.0
104/12/06,400 台中市,LL1 茼蒿  ,50.1,41.0,28.3,39.1,1253.0
104/12/08,400 台中市,LL1 茼蒿  ,50.8,46.0,36.8,43.4,894.0
104/12/09,400 台中市,LL1 茼蒿  ,46.0,38.8,25.5,36.8,854.0
104/12/10,400 台中市,LL1 茼蒿  ,47.0,35.4,25.4,34.6,906.0
104/12/11,400 台中市,LL1 茼蒿  ,46.7,40.9,25.7,37.5,532.0
104/12/12,400 台中市,LL1 茼蒿  ,48.3,32.5,15.4,29.8,1588.0
104/12/13,400 台中市,LL1 茼蒿  ,31.5,16.0,6.4,16.3,2682.0
104/12/15,400 台中市,LL1 茼蒿  ,31.8,19.8,10.4,20.5,1442.0
104/12/16,400 台中市,LL1 茼蒿  ,32.5,23.6,11.4,24.2,1600.0
104/12/17,400 台中市,LL1 茼蒿  ,31.0,25.8,17.3,24.9,2027.0
104/12/18,400 台中市,LL1 茼蒿  ,35.2,28.8,21.7,28.0,2046.0
104/12/19,400 台中市,LL1 茼蒿  ,61.8,53.4,35.8,52.7,1409.0
104/12/20,400 台中市,LL1 茼蒿  ,66.7,58.7,43.5,58.1,3060.0
104/12/22,400 台中市,LL1 茼蒿  ,51.7,43.4,35.9,42.4,3019.0
104/12/23,400 台中市,LL1 茼蒿  ,45.4,27.1,20.0,29.6,870.0
104/12/24,400 台中市,LL1 茼蒿  ,44.8,35.8,26.0,35.8,397.0
104/12/25,400 台中市,LL1 茼蒿  ,45.7,36.6,21.2,34.3,1144.0
104/12/26,400 台中市,LL1 茼蒿  ,35.9,23.6,12.3,23.1,2704.0
104/12/27,400 台中市,LL1 茼蒿  ,30.4,18.2,9.3,17.7,2571.0
104/12/29,400 台中市,LL1 茼蒿  ,31.2,25.5,20.6,25.2,688.0
104/12/30,400 台中市,LL1 茼蒿  ,33.2,23.9,15.6,24.2,956.0
104/12/31,400 台中市,LL1 茼蒿  ,32.5,25.4,18.0,26.4,658.0
105/01/01,400 台中市,LL1 茼蒿  ,43.7,31.4,19.3,32.4,546.0
105/01/02,400 台中市,LL1 茼蒿  ,46.3,41.8,29.8,41.2,939.0
105/01/03,400 台中市,LL1 茼蒿  ,50.3,39.8,24.2,39.0,790.0
105/01/05,400 台中市,LL1 茼蒿  ,46.2,29.6,19.0,31.9,830.0
105/01/06,400 台中市,LL1 茼蒿  ,31.0,19.5,6.2,18.8,1062.0
105/01/07,400 台中市,LL1 茼蒿  ,32.5,25.5,13.8,23.4,708.0
105/01/08,400 台中市,LL1 茼蒿  ,26.1,18.0,6.7,17.6,1168.0
105/01/09,400 台中市,LL1 茼蒿  ,34.9,22.6,11.2,23.0,1435.0
105/01/10,400 台中市,LL1 茼蒿  ,27.1,19.2,9.9,17.8,1226.0
105/01/12,400 台中市,LL1 茼蒿  ,32.0,23.0,20.0,25.2,332.0
105/01/13,400 台中市,LL1 茼蒿  ,42.9,25.9,11.0,24.1,1514.0
105/01/14,400 台中市,LL1 茼蒿  ,24.4,15.9,10.0,16.3,1405.0
105/01/15,400 台中市,LL1 茼蒿  ,26.7,16.8,9.0,17.1,1139.0
105/01/16,400 台中市,LL1 茼蒿  ,37.3,23.8,9.0,23.0,250.0
105/01/17,400 台中市,LL1 茼蒿  ,48.8,31.1,17.0,30.2,759.0
105/01/19,400 台中市,LL1 茼蒿  ,43.2,34.3,17.2,30.6,910.0
105/01/20,400 台中市,LL1 茼蒿  ,44.6,30.4,19.8,32.1,630.0
105/01/21,400 台中市,LL1 茼蒿  ,45.0,36.0,24.8,34.7,533.0
105/01/22,400 台中市,LL1 茼蒿  ,45.7,39.4,26.0,35.7,445.0
105/01/23,400 台中市,LL1 茼蒿  ,52.8,38.9,20.7,38.2,840.0
105/01/24,400 台中市,LL1 茼蒿  ,74.0,66.0,56.5,67.3,220.0
105/01/26,400 台中市,LL1 茼蒿  ,87.8,67.3,53.8,68.8,359.0
105/01/27,400 台中市,LL1 茼蒿  ,70.2,44.3,20.0,39.0,859.0
105/01/28,400 台中市,LL1 茼蒿  ,53.4,20.4,9.8,24.3,794.0
105/01/29,400 台中市,LL1 茼蒿  ,59.0,45.6,22.0,36.8,360.0
105/01/30,400 台中市,LL1 茼蒿  ,38.5,29.0,17.5,29.3,118.0
105/01/31,400 台中市,LL1 茼蒿  ,57.5,35.6,11.2,28.5,549.0
105/02/01,400 台中市,LL1 茼蒿  ,36.0,23.4,9.5,23.5,758.0
105/02/02,400 台中市,LL1 茼蒿  ,38.0,19.7,9.4,21.0,1060.0
105/02/03,400 台中市,LL1 茼蒿  ,45.5,27.0,16.8,27.3,684.0
105/02/04,400 台中市,LL1 茼蒿  ,48.5,29.3,18.2,28.8,1140.0
105/02/05,400 台中市,LL1 茼蒿  ,58.4,30.9,13.4,31.3,969.0
105/02/06,400 台中市,LL1 茼蒿  ,77.0,48.8,16.0,49.0,270.0
105/02/07,400 台中市,LL1 茼蒿  ,74.0,47.4,5.5,47.5,313.0
105/02/13,400 台中市,LL1 茼蒿  ,39.7,27.0,14.6,25.1,1615.0
105/02/14,400 台中市,LL1 茼蒿  ,36.3,22.4,14.7,22.4,1356.0
105/02/17,400 台中市,LL1 茼蒿  ,42.8,31.2,23.9,31.4,1855.0
105/02/18,400 台中市,LL1 茼蒿  ,39.0,28.0,21.6,28.0,1550.0
105/02/19,400 台中市,LL1 茼蒿  ,39.7,30.9,26.3,31.1,856.0
105/02/20,400 台中市,LL1 茼蒿  ,48.6,39.3,30.1,38.2,1340.0
105/02/21,400 台中市,LL1 茼蒿  ,58.4,44.6,30.2,45.1,1136.0
105/02/25,400 台中市,LL1 茼蒿  ,49.3,38.5,26.4,36.9,1619.0
105/02/26,400 台中市,LL1 茼蒿  ,46.1,31.6,22.0,32.3,1561.0
105/02/27,400 台中市,LL1 茼蒿  ,42.6,33.7,24.1,33.7,1113.0
105/02/28,400 台中市,LL1 茼蒿  ,38.0,28.6,21.6,28.5,1418.0
105/03/01,400 台中市,LL1 茼蒿  ,31.7,24.0,16.5,23.1,2188.0
105/03/02,400 台中市,LL1 茼蒿  ,26.2,20.1,16.8,20.2,1080.0
105/03/03,400 台中市,LL1 茼蒿  ,27.8,20.1,15.2,20.4,820.0
105/03/04,400 台中市,LL1 茼蒿  ,27.2,20.5,11.8,20.2,1154.0
105/03/05,400 台中市,LL1 茼蒿  ,25.2,15.7,10.3,16.8,1623.0
105/03/06,400 台中市,LL1 茼蒿  ,19.5,11.7,7.7,11.4,1248.0
105/03/08,400 台中市,LL1 茼蒿  ,21.5,12.9,6.8,13.1,838.0
105/03/09,400 台中市,LL1 茼蒿  ,19.7,14.1,8.7,15.3,773.0
105/03/10,400 台中市,LL1 茼蒿  ,17.1,8.7,5.4,9.6,1603.0
105/03/11,400 台中市,LL1 茼蒿  ,20.7,8.8,3.3,8.5,420.0
105/03/12,400 台中市,LL1 茼蒿  ,24.0,19.5,12.7,19.0,425.0
105/03/13,400 台中市,LL1 茼蒿  ,25.8,19.1,10.8,17.4,1105.0
105/03/15,400 台中市,LL1 茼蒿  ,20.2,16.3,11.0,15.9,756.0
105/03/16,400 台中市,LL1 茼蒿  ,30.0,18.0,16.5,18.9,320.0
