項次,測站代碼,測站中文名稱,縣市,鄉鎮,地址,"經度_WGS84","緯度_WGS84","海拔(橢球高)(m)","測站資料起始時間)",原測站名
1,12J990,口湖工作站,雲林縣,口湖鄉,口湖村成功路180號,120.1804,23.589978,10,2018/12/5,
2,12Q970,東港工作站,屏東縣,東港鎮,興東里興東路65-18號,120.4661,22.479997,16,2018/12/5,
3,12Q980,恆春工作站,屏東縣,車城鄉,田中村中山路166號,120.7144,22.079678,16,2018/11/26,
4,42HA10,萬大發電廠,南投縣,仁愛鄉,親愛村大安路1號,121.1396,23.978875,1000,2018/11/16,
5,72AI40,桃改樹林分場,新北市,樹林區,新北市樹林區佳園路三段253號,121.387,24.944503,40,2019/12/12,"桃改臺北分場"
6,72C440,桃園農改,桃園市,新屋區,後庄里16號,121.0306,24.950944,70,1987/4/1,
7,72D080,桃改五峰分場,新竹縣,五峰鄉,竹林村羅山11號,121.1572,24.612194,1048,1990/1/1,五峰站
8,72D680,桃改新埔分場,新竹縣,新埔鎮,義民路一段286巷133弄25號,121.0661,24.834444,101.9,2020/10/23,"桃園農改場新埔工作站"
9,72G600,臺中農改,彰化縣,大村鄉,田洋村松槐路370號,120.5344,24.003028,19,1987/1/1,
10,72HA00,中改埔里分場,南投縣,魚池鄉,共和村五馬巷11-1號,120.9634,23.903208,628,2018/12/4,埔里分場
11,72K220,南改斗南分場,雲林縣,斗南鎮,復興路1~15號,120.4773,23.634556,60,1987/1/1,雲林分場
12,72M360,南改義竹分場,嘉義縣,義竹鄉,中平村中庄84號,120.2794,23.360694,6,1989/1/1,義竹分場
13,72M700,南改鹿草分場,嘉義縣,鹿草鄉,豐稠村農改場1號,120.2831,23.416869,14,2018/12/5,嘉義分場
14,72N100,臺南農改,臺南市,新化區,牧場路70號,120.3422,23.0605,41,1990/1/1,
15,72N240,七股研究中心,臺南市,七股區,十份里海埔48號,120.0629,23.081672,2,2018/12/5,
16,72Q010,高雄農改,屏東縣,長治鄉,德和村德和路2-6號,120.5259,22.709333,45,1987/4/1,
17,72S200,東改班鳩分場,臺東縣,卑南鄉,美農村17號,121.0777,22.829528,240,1987/4/1,斑鳩分場
18,72S590,東改賓朗果園,臺東縣,卑南鄉,改良場路36號,121.0713,22.813889,290,1990/1/1,賓朗果園
19,72T250,花蓮農改,花蓮縣,吉安鄉,吉安村吉安路二段150號,121.5639,23.975222,36,1987/4/1,
20,72U480,花改蘭陽分場,宜蘭縣,三星鄉,大義村上將三段81巷6號,121.7166,24.686306,27,1990/1/1,蘭陽分場
21,72V140,高改旗南分場,高雄市,旗山區,廣福段213號,120.5167,22.857861,44,1990/1/1,旗南農改
22,82A750,茶改北部分場,新北市,石碇區,格頭里北宜路五段12號,121.6312,24.955778,401,1990/1/1,文山茶改
23,82C160,茶改場,桃園市,楊梅區,金龍里中興路324號,121.1853,24.908472,195,1987/7/1,
24,82H320,茶改中部分場,南投縣,魚池鄉,中山路270巷13號,120.9136,23.875611,850,1990/1/1,魚池茶改
25,82H840,茶改南部分場,南投縣,鹿谷鄉,初鄉村仁愛路255號,120.7405,23.762528,390,1990/1/1,凍頂茶改
26,82S580,茶改東部分場,臺東縣,鹿野鄉,龍田村北二路66號,121.1301,22.907694,175,1990/1/1,臺東茶改
27,A2C560,農工中心,桃園市,中壢區,中園路196-1號,121.2398,24.985917,121,2002/6/1,
28,A2k360,"水試臺西試驗場",雲林縣,臺西鄉,雲林縣臺西鄉中央路271號,120.1905,23.717231,1,1990/1/2,"臺西水試所"
29,A2K630,臺大雲林校區,雲林縣,虎尾鎮,"雲林縣虎尾鎮學府西路8號(台大雲林分部，農業推廣教育中心，鋤禾館)",120.4239,23.730628,45,2019/12/12,
30,A2N290,臺南蘭花園區,臺南市,後壁區,臺南市後壁區13鄰烏樹里325號,120.3797,23.340258,23,2019/12/11,
31,B2E890,畜試北區分所,苗栗縣,西湖鄉,五湖村埤頭面207-5號,120.771,24.527806,90,2018/1/1,新竹畜試
32,B2N890,畜試所,臺南市,新化區,那菝里牧場112號,120.3364,23.058972,31,1909/6/1,
33,B2Q810,畜試南區分所,屏東縣,恆春鎮,墾丁里牧場路1號,120.8022,21.945583,20,1990/1/1,恆春畜試
34,B2U990,畜試東區分所,宜蘭縣,五結鄉,宜蘭縣五結鄉季水路28之1號,121.8326,24.669039,10,2019/12/11,宜蘭畜試
35,CAG10,王功漁港,彰化縣,芳苑鄉,彰化縣芳苑鄉漁港路900號,120.3259,23.96824,3.1,2021/12/29,
36,CAJ05,海口故事園區,雲林縣,口湖鄉,新港綠化公園旁,120.1412,23.57543,2.3,2021/12/29,
