日期,市場,產品,上價,中價,下價,平均價(元/公斤),交易量(公斤)
104/01/01,400 台中市,FL6 豌豆 甜豌豆 ,82.8,73.9,61.2,73.2,427
104/01/02,400 台中市,FL6 豌豆 甜豌豆 ,89.2,80.3,72.2,80.0,259
104/01/03,400 台中市,FL6 豌豆 甜豌豆 ,86.0,83.6,75.0,80.9,329
104/01/04,400 台中市,FL6 豌豆 甜豌豆 ,88.8,80.1,61.0,77.5,412
104/01/06,400 台中市,FL6 豌豆 甜豌豆 ,78.3,68.1,52.2,66.9,946
104/01/07,400 台中市,FL6 豌豆 甜豌豆 ,66.7,55.4,41.8,56.4,906
104/01/08,400 台中市,FL6 豌豆 甜豌豆 ,60.7,54.4,46.5,54.5,717
104/01/09,400 台中市,FL6 豌豆 甜豌豆 ,60.9,52.4,39.8,52.6,635
104/01/10,400 台中市,FL6 豌豆 甜豌豆 ,56.4,49.1,41.1,48.7,755
104/01/11,400 台中市,FL6 豌豆 甜豌豆 ,45.8,40.8,33.3,40.1,651
104/01/13,400 台中市,FL6 豌豆 甜豌豆 ,48.0,41.0,32.9,41.8,767
104/01/14,400 台中市,FL6 豌豆 甜豌豆 ,43.6,40.2,35.6,40.3,748
104/01/15,400 台中市,FL6 豌豆 甜豌豆 ,46.6,40.5,30.0,39.0,554
104/01/16,400 台中市,FL6 豌豆 甜豌豆 ,48.4,40.2,32.0,40.2,996
104/01/17,400 台中市,FL6 豌豆 甜豌豆 ,45.2,41.4,31.3,40.7,724
104/01/18,400 台中市,FL6 豌豆 甜豌豆 ,42.0,38.0,30.6,37.6,872
104/01/20,400 台中市,FL6 豌豆 甜豌豆 ,41.5,36.0,27.4,36.3,1353
104/01/21,400 台中市,FL6 豌豆 甜豌豆 ,35.4,31.8,26.9,31.5,1040
104/01/22,400 台中市,FL6 豌豆 甜豌豆 ,35.8,32.0,24.4,32.2,684
104/01/23,400 台中市,FL6 豌豆 甜豌豆 ,37.2,33.5,27.2,32.6,666
104/01/24,400 台中市,FL6 豌豆 甜豌豆 ,37.6,32.7,23.6,32.8,800
104/01/25,400 台中市,FL6 豌豆 甜豌豆 ,37.2,33.7,27.8,34.0,679
104/01/27,400 台中市,FL6 豌豆 甜豌豆 ,40.5,37.0,32.6,35.9,972
104/01/28,400 台中市,FL6 豌豆 甜豌豆 ,36.8,34.0,28.6,34.0,1014
104/01/29,400 台中市,FL6 豌豆 甜豌豆 ,38.1,35.4,29.5,34.9,871
104/01/30,400 台中市,FL6 豌豆 甜豌豆 ,37.8,35.4,28.3,34.4,616
104/01/31,400 台中市,FL6 豌豆 甜豌豆 ,40.6,37.3,31.0,37.0,848
104/02/01,400 台中市,FL6 豌豆 甜豌豆 ,38.3,34.7,29.3,34.4,1236
104/02/03,400 台中市,FL6 豌豆 甜豌豆 ,36.7,30.7,24.2,31.1,1582
104/02/04,400 台中市,FL6 豌豆 甜豌豆 ,32.0,29.0,25.2,29.0,892
104/02/05,400 台中市,FL6 豌豆 甜豌豆 ,30.2,28.3,22.8,27.7,1032
104/02/06,400 台中市,FL6 豌豆 甜豌豆 ,39.0,35.3,24.6,33.5,537
104/02/07,400 台中市,FL6 豌豆 甜豌豆 ,42.6,38.2,30.6,37.9,499
104/02/08,400 台中市,FL6 豌豆 甜豌豆 ,53.4,45.4,32.3,42.6,936
104/02/10,400 台中市,FL6 豌豆 甜豌豆 ,69.0,64.2,48.6,63.5,733
104/02/11,400 台中市,FL6 豌豆 甜豌豆 ,80.1,75.8,55.3,72.2,843
104/02/12,400 台中市,FL6 豌豆 甜豌豆 ,85.9,79.2,60.2,75.5,913
104/02/13,400 台中市,FL6 豌豆 甜豌豆 ,79.1,71.0,57.2,70.9,1428
104/02/14,400 台中市,FL6 豌豆 甜豌豆 ,63.5,52.8,39.3,50.7,2626
104/02/15,400 台中市,FL6 豌豆 甜豌豆 ,58.5,50.9,41.4,51.4,1478
104/02/16,400 台中市,FL6 豌豆 甜豌豆 ,58.4,50.6,38.4,50.5,1101
104/02/17,400 台中市,FL6 豌豆 甜豌豆 ,67.8,51.6,34.2,50.7,1549
104/02/18,400 台中市,FL6 豌豆 甜豌豆 ,57.9,45.0,31.7,42.0,1192
104/02/24,400 台中市,FL6 豌豆 甜豌豆 ,25.8,17.1,13.8,17.8,2821
104/02/25,400 台中市,FL6 豌豆 甜豌豆 ,30.5,22.1,12.2,20.4,778
104/02/26,400 台中市,FL6 豌豆 甜豌豆 ,28.5,22.1,8.9,19.9,899
104/02/28,400 台中市,FL6 豌豆 甜豌豆 ,22.9,17.5,13.3,17.4,1392
104/03/01,400 台中市,FL6 豌豆 甜豌豆 ,22.6,17.8,11.8,17.9,625
104/03/03,400 台中市,FL6 豌豆 甜豌豆 ,34.2,23.7,14.5,24.4,617
104/03/04,400 台中市,FL6 豌豆 甜豌豆 ,33.1,23.2,14.6,23.1,907
104/03/05,400 台中市,FL6 豌豆 甜豌豆 ,40.2,28.5,19.7,28.3,727
104/03/06,400 台中市,FL6 豌豆 甜豌豆 ,32.4,27.5,20.6,27.1,675
104/03/10,400 台中市,FL6 豌豆 甜豌豆 ,36.6,27.4,16.0,26.8,1232
104/03/11,400 台中市,FL6 豌豆 甜豌豆 ,30.4,23.2,11.6,21.4,778
104/03/12,400 台中市,FL6 豌豆 甜豌豆 ,41.3,29.4,23.0,29.9,315
104/03/13,400 台中市,FL6 豌豆 甜豌豆 ,41.3,32.7,19.0,33.3,359
104/03/14,400 台中市,FL6 豌豆 甜豌豆 ,53.5,34.2,13.8,34.2,487
104/03/15,400 台中市,FL6 豌豆 甜豌豆 ,47.5,36.4,16.0,34.3,396
104/03/17,400 台中市,FL6 豌豆 甜豌豆 ,47.0,36.0,30.0,36.1,380
104/03/18,400 台中市,FL6 豌豆 甜豌豆 ,40.5,37.5,29.8,36.4,463
104/03/19,400 台中市,FL6 豌豆 甜豌豆 ,40.7,34.0,26.0,33.2,367
104/03/20,400 台中市,FL6 豌豆 甜豌豆 ,42.2,32.1,15.5,32.5,504
104/03/21,400 台中市,FL6 豌豆 甜豌豆 ,47.7,36.3,11.7,35.7,373
104/03/22,400 台中市,FL6 豌豆 甜豌豆 ,45.5,39.8,27.5,34.6,544
104/03/24,400 台中市,FL6 豌豆 甜豌豆 ,41.8,37.6,25.6,37.0,536
104/03/25,400 台中市,FL6 豌豆 甜豌豆 ,47.7,37.6,22.3,36.6,445
104/03/26,400 台中市,FL6 豌豆 甜豌豆 ,49.3,38.4,31.7,39.1,393
104/03/27,400 台中市,FL6 豌豆 甜豌豆 ,47.7,37.0,27.3,36.3,388
104/03/28,400 台中市,FL6 豌豆 甜豌豆 ,46.2,37.8,29.2,38.9,373
104/03/29,400 台中市,FL6 豌豆 甜豌豆 ,46.3,40.4,28.7,37.9,373
104/03/31,400 台中市,FL6 豌豆 甜豌豆 ,53.5,40.6,22.5,36.5,274
104/04/01,400 台中市,FL6 豌豆 甜豌豆 ,60.3,46.6,22.3,46.1,247
104/04/02,400 台中市,FL6 豌豆 甜豌豆 ,58.0,48.7,25.0,45.5,106
104/04/03,400 台中市,FL6 豌豆 甜豌豆 ,60.3,39.8,27.3,40.1,374
104/04/04,400 台中市,FL6 豌豆 甜豌豆 ,64.0,51.7,43.0,53.7,100
104/04/07,400 台中市,FL6 豌豆 甜豌豆 ,48.0,35.5,12.5,34.4,166
104/04/08,400 台中市,FL6 豌豆 甜豌豆 ,39.0,35.0,30.0,35.0,117
104/04/09,400 台中市,FL6 豌豆 甜豌豆 ,62.0,49.5,25.0,49.1,54
104/04/10,400 台中市,FL6 豌豆 甜豌豆 ,47.0,47.0,47.0,47.0,6
104/04/11,400 台中市,FL6 豌豆 甜豌豆 ,68.0,63.0,62.0,65.1,36
104/04/12,400 台中市,FL6 豌豆 甜豌豆 ,54.0,54.0,54.0,54.0,6
104/04/14,400 台中市,FL6 豌豆 甜豌豆 ,81.0,61.7,52.0,63.2,83
104/04/15,400 台中市,FL6 豌豆 甜豌豆 ,97.0,85.0,73.0,84.5,25
104/04/16,400 台中市,FL6 豌豆 甜豌豆 ,81.0,78.5,76.0,78.6,25
104/04/17,400 台中市,FL6 豌豆 甜豌豆 ,45.0,45.0,45.0,45.0,10
104/04/18,400 台中市,FL6 豌豆 甜豌豆 ,106.0,87.5,73.0,88.6,63
104/04/19,400 台中市,FL6 豌豆 甜豌豆 ,106.0,88.0,70.0,86.5,48
104/04/21,400 台中市,FL6 豌豆 甜豌豆 ,95.0,87.0,50.0,85.6,57
104/04/22,400 台中市,FL6 豌豆 甜豌豆 ,98.0,98.0,98.0,98.0,20
104/04/23,400 台中市,FL6 豌豆 甜豌豆 ,83.0,81.5,80.0,80.8,36
104/04/24,400 台中市,FL6 豌豆 甜豌豆 ,102.0,102.0,102.0,102.0,30
104/04/26,400 台中市,FL6 豌豆 甜豌豆 ,86.0,80.5,74.0,83.3,122
104/04/28,400 台中市,FL6 豌豆 甜豌豆 ,90.0,87.0,30.0,83.2,53
104/04/29,400 台中市,FL6 豌豆 甜豌豆 ,106.0,103.0,100.0,101.4,26
